bids,brand,category,character,condition,era,franchise,gender,item_num,price,quantity_sold,sell_date,size,title,toy_type,year
1,Hasbro,"TV, Movie & Video Games",R2-D2,Used,,Star Wars,,274042066899,0.99,1,"Oct 14, 2019",2in.,"Star Wars Coruscant Sentry R2-D2 Electronic 2001 Action Figure Hasbro 2 1/2""",Action Figure,2001
0,McFarlane Toys,Sports,,New,2002-Now,,,163518117233,13.5,1,"Oct 14, 2019",,McFarlane NFL Series 3 JAMES JACKSON Cleveland Browns Action Figure M13,,
1,JAKKS Pacific,Sports,Godfather,Used,,,,254382093084,15.0,1,"Oct 14, 2019",,WWF Jakks Classic Series The Godfather WWE ,Action Figure,
0,Mego,"TV, Movie & Video Games",Starsky,Used,Pre-1980,Starsky & Hutch,,153675537874,16.0,1,"Oct 14, 2019","8""","Vintage 1974 Starsky and Hutch -  Starsky 8"" Action Figure / Doll Repair",Action Figure,1974
0,Boley,Animals & Dinosaurs,,Used,,,,153450465089,32.0,1,"Oct 14, 2019",,Vintage Rare Action Roar-O-Saurs Battery Dinosaur Figure Lights Sounds by Boley,Action Figure,
1,Playmates Toys,"TV, Movie & Video Games",Krang,New,,Teenage Mutant Ninja Turtles,,274051682964,20.0,1,"Oct 14, 2019",,Mint On Card Unpunched Playmates Krang TMNT Action Figure,Action Figure,
1,McFarlane Toys,Sports,,New,,,,223704966174,17.8,1,"Oct 14, 2019",,McFARLANE'S Sportpicks SCOTTIE PIPPEN #33 NBA Series #6 Action Figure Bulls,Action Figure,2004
0,Anjon,Comic Book Heroes,Singe the Dragon,New,,Dragon's Lair,,183977135192,35.0,1,"Oct 14, 2019",6in.,Dragon's Lair 3D Series 1 Action Figure Singe with Sword and Treasure Open Box,Action Figure,2002
1,Mattel,Sports,Goldberg,New,,WWE,,264490762122,11.49,1,"Oct 14, 2019",7in.,WWE Entrance Greats Action Figure Goldberg,Action Figure,
0,,"TV, Movie & Video Games",as shown,Used,,Teenage Mutant Ninja Turtles,,274051220251,29.99,1,"Oct 14, 2019",,TMNT TEENAGE MUTANT NINJA TURTLES 1988 FOOT SOLDIER NM COND 100% COMPLETE E,Action Figure,1988-1994
0,Marvel,Comic Book Heroes,,Used,,Marvel Universe,,264087820395,20.88,3,"Oct 14, 2019",8in.,Marvel Legends The Avengers Incredible Hulk Red Hulk Loose Action Figure,Action Figure,
0,Marvel,"TV, Movie & Video Games",,New,,Marvel Universe,,254025730156,34.98,56,"Oct 14, 2019",7in.,Toy Biz Marvel Legends Spiderman Classics Spider-Hulk Action Figure Loose Rare,,
2,Action,Military & Adventure,,New,,,,283636056746,22.5,1,"Oct 14, 2019",,Vintage Action Jackson Action Figure,Action Figure,
0,Hasbro,Transformers & Robots,Beastbox & Squawktalk,Used,1980-2001,Transformers,,293276212665,126.99,1,"Oct 14, 2019",2in.,Transformers G1 Beastbox & Squawktalk! Cassette Combiner Squalkbox 1988 Complete,Action Figure,1988
0,Bandai,"TV, Movie & Video Games",,Used,1980-2001,Power Rangers,,264412600604,8.35,1,"Oct 14, 2019",5in.,Power Rangers MMPR Villain Figure Lot (2) Slippery Shark & Invenusable Fly Trap,Action Figure,1994
0,Mattel,"TV, Movie & Video Games",Battle Cat,New,2002-Now,Masters of the Universe,,293277740795,180.0,1,"Oct 14, 2019",, Masters of the Universe Classics  He-Man Battle Cat Figure,Action Figure,2000's
0,Tokidoki,Designer & Urban Vinyl,Coccinella,Used,2002-Now,Unicorno,,143397379659,11.99,1,"Oct 14, 2019","3""","TOKIDOKI Unicorno Series 3 COCCINELLA 3"" Ladybug Vinyl Figure",Action Figure,
0,Action,"TV, Movie & Video Games",He-Man,Used,,Masters of the Universe,,383210887058,30.5,1,"Oct 14, 2019",,Vintage 1985 He-Man & Masters Of The Universe Flying Fists He-Man Action Figure,Action Figure,1984
0,Hasbro,Comic Book Heroes,,Used,,,,372800696910,10.99,1,"Oct 14, 2019",,Marvel Legends Hasbro Wal-Mart Exclusive Claire Temple Action Figure (K),,
0,ENTERBAY,Sports,,New,,,,352816831956,295.0,2,"Oct 14, 2019",,Autographed Dennis Rodman Enterbay Action figure 1/9 scale inscribed Worm SSG,,
0,Imaginext,Comic Book Heroes,Flash Brainiac Lex Luthor Superman Wonder Woman,New,2002-Now,DC Universe,,192933717256,23.87,1,"Oct 14, 2019",3in.,Imaginext 5 Pack DC Super Friends Heroes & Villains Pck Flash Braniac Lex Luthor,Action Figure,2015
0,Hasbro,Transformers & Robots,Soundwave,New,1980-2001,Transformers,,303320651782,21.95,1,"Oct 14, 2019",,Soundwave Action Figure Rubber Eraser Vintage Transformers G1 1985 Action Figure,Action Figure,1985
0,Hot Toys,"TV, Movie & Video Games",Alien Warrior,Used,2002-Now,Alien,,401748060890,294.99,1,"Oct 14, 2019",16in.,Hot Toys Aliens Movie MMS38 Alien Warrior Brown Repaint Edition 1:6 Scale,Action Figure,2007
0,Batman V Superman,Comic Book Heroes,Batman & Superman,New,2002-Now,"Batman, Superman, Superheroes, DC Comics",,303199523732,18.77,1,"Oct 14, 2019",12in.,Batman v Superman: Dawn of Justice Deluxe 2 Figure Pack BRAND NEW,Action Figure,2015
0,Hasbro,Comic Book Heroes,Thor,New,2002-Now,Marvel Universe,,153683888281,15.0,1,"Oct 14, 2019",6in.,Marvel Legends 80th Anniversary Thor 6-Inch Action Figure *New*,Action Figure,2019
0,,Military & Adventure,,Used,,GI Joe,,223490674827,5.95,1,"Oct 14, 2019",,Vin/Org G.I. Joe ARAH Act/Fig 3.75 - 2003 RINGNECK DRIVER V5 - NO CRACKS NICE!,Action Figure,
0,Mattel DC Multiverse,Comic Book Heroes,Killer Croc,New,,Batman DC Multiverse,,133167519912,19.99,1,"Oct 14, 2019",6in.,"Alfred Pennyworth DC Multiverse 6"" Action Figure Killer Croc BAF CnC Loose",Action Figure,
0,ToyBiz,Comic Book Heroes,Carnage,New,,,,163593585653,39.99,1,"Oct 14, 2019",10in.,"Carnage action figure from toy biz 10""",Action Figure,
0,McFarlane Toys,"TV, Movie & Video Games",,Used,,,,264458104786,33.99,1,"Oct 14, 2019",6in.,Jim Morrison The Doors Todd Mcfarlane Action Figure,Action Figure,
0,Kenner,"TV, Movie & Video Games",Misc,Used,,,,254388749595,30.0,1,"Oct 14, 2019",,Vintage DC Marvel Kenner Action Figures Lot 80’ And 90’s,Action Figure,1980’s
