bids,brand,character,era,franchise,price,sell_date,size,title,toy_type,year
0,Hasbro,Prowl,1980-2001,Transformers,26.99,"Oct 10, 2019",,"Vintage 1999 Transformers Beast Wars Transmetals 2 Prowl, MOC, sealed!",Action Figure,1999
12,Kenner,,Vintage,Star Wars,20.5,"Oct 10, 2019",3.75in.,Vintage Star Wars Ben (Obi-Wan) Kenobi A New Hope 1977 Kenner,Action Figure,1977
0,NECA,Predator Wolf Stealth Cloaked,2002-Now,AvP Requiem,54.5,"Oct 10, 2019",8in.,"Neca AVPR Predator Wolf Stealth Mode Cloaked, X2 Alien Vs Predator Requiem Loose",Action Figure,2008
0,NECA,Leatherface,2002-Now,The Texas Chainsaw Massacre 3,30.0,"Oct 10, 2019","8"" inch","LEATHERFACE The Texas Chainsaw Massacre Part 3 8"" inch Clothed Figure Neca 2017",Action Figure,2016
0,Kenner,Boulder Hill,1980-2001,MASK,4.9,"Oct 10, 2019",,Alex Sector Boulder Hill Action Figure Driver MASK M.A.S.K. 1985 Kenner,Action Figure,1985
0,NECA,Ultron,,Avengers,199.99,"Oct 10, 2019",,NECA Avengers: Age of Ultron Figure - Hulk (1:4 Scale) EC-61416 movie,,
27,Hasbro,,,GI Joe,89.0,"Oct 10, 2019",3.75in.,GI JOE ESTRELA Comandos 1993 LOT VIBORA MESTRE RAPINA MARECHAL-DO-AR BRAZIL MINT,Action Figure,1993
0,Hasbro,Ugnaught,,Star Wars,15.99,"Oct 10, 2019",3.75in.,STAR WARS LEGACY BLUE UGNAUGHT LOOSE COMPLETE,Action Figure,
0,Bandai,lion-o,,ThunderCats,64.99,"Oct 10, 2019",8in.,Thundercat Lion-O and Mumm-Ra Classic 6 inch Bandai New ,Action Figure,
0,Mattel,Undertaker,2002-Now,WWE,32.5,"Oct 10, 2019",7in.,Mattel WWE Elite Ghostbusters Undertaker Action Figure 2019 *Walmart Exclusive*,Action Figure,2019
0,Hasbro,,,Star Wars,10.99,"Oct 10, 2019",3.75in.,"STAR WARS Black Series CLONE COMMANDER THORN 3.75"" tcw tbs #15",Action Figure,
0,Hasbro,Bluestreak,2002-Now,Transformers,30.0,"Oct 10, 2019",11in.,Transformers Masterpiece BLUESTREAK MP-06 TOYS R US Exclusive Used TRU,Action Figure,2014
0,Playmates Toys,Michaelangelo,1980-2001,Teenage Mutant Ninja Turtles,9.95,"Oct 10, 2019",5in., TMNT Mike the Sewer Surfer 1990 Teenage Mutant Ninja Turtles Figure,Action Figure,1990
32,DC,,,,107.5,"Oct 10, 2019",6in.,DC Multiverse KING SHARK CNC Complete w HAMMERHEAD Mint baf collect n connect,Action Figure,
0,Hasbro,cantina aliens,,Star Wars,24.27,"Oct 10, 2019","3.75""",Star Wars Action Figures Lot - Aliens - Jabba's Palace - Cantina - Hasbro loose,Action Figure,Various
0,Hasbro,Greedo,,Star Wars,27.97,"Oct 10, 2019",3.75in.,"Star Wars Rare Lot 3.75” Action Figures Greedo, Vilmarh Grahrk, Medical Droid R2",Action Figure,
1,DC Direct,Dr Manhattan,,Watchmen,50.0,"Oct 10, 2019",,NEW Dr. Manhattan Watchmen 1:6 scale Deluxe Collector Action Figure DC Direct,Action Figure,
0,Mattel,,2002-Now,WWE,19.99,"Oct 10, 2019",6in.,WWE AEW NJPW Mattel Elite Kenny Omega Custom Figure Head • UNPAINTED VERSION •,Action Figure,2012
0,ToyBiz,Wolverine,,Marvel Legends,19.99,"Oct 10, 2019","6"" scale",Wolverine + Sabretooth Age of Apocalypse Action Figure ToyBiz Marvel Legends set,Action Figure,2006
0,KENNER,,1980-2001,,15.99,"Oct 10, 2019",,1989 STARTING LINEUP - SLU - MLB - BASEBALL COLLECTOR'S SHOWCASE,Action Figure,1989
7,DC,,,,8.5,"Oct 10, 2019",6in.,DC Universe Classics All Stars NEW 52 BATMAN 100% Complete Mint VHTF multiverse,Action Figure,
0,Kidrobot,Pusheen,,J Ledbetter,9.24,"Oct 10, 2019",,NeW LoungeFly DISNEY Stitch Collectible Blind Enamel PIN * STITCH w PIZZA * RaRe,Action Figure,
0,Hasbro,Snake Eyes,,GI Joe,49.99,"Oct 10, 2019",3.75in.,Vintage 1983 Grand Slam Silver - (vintage hasbro GI Joe figure) Read,Action Figure,1983
0,Hasbro Toybox,Omega Supreme,1980-2001,Transformers,21.0,"Oct 10, 2019",,Vintage 1985 Hasbro Toybox Transformers G1 OMEGA SUPREME Tank Action Figure,Action Figure,1985
