bids,brand,character,era,franchise,price,sell_date,size,title,toy_type,year
0,Toy Vault,Magician,1980-2001,,38.0,"Oct 09, 2019",6in.,2000 TOY VAULT EVERQUEST SERIES 1 A FEMALE DARK ELF SPELLCASTER MAGICIAN figure,Action Figure,2000
0,Jurassic World,,,,61.75,"Oct 09, 2019",,Fallen Kingdom Legacy Collection Dr. Alan Grant & Dinosaurs Action Figure 6-Pack,,
0,Hasbro,,,GI Joe,20.0,"Oct 09, 2019",,Vintage G.I.JOE 1988 Toy Action Figures Catalog Catalogue Fold-Out Poster,Action Figure,1988
10,Hasbro,,,GI Joe,42.0,"Oct 09, 2019",,5 Hasbro GI Joe Desert Patrol Squad Toy Military Action Figures + 3 Guns,Action Figure,
0,Marvel,,,Voltron,10.0,"Oct 09, 2019",,Marvel Iron Man 2 Crimson Dynamo Titanium Dragonball Z DBZ Cell Action figures,Action Figure,1998
11,Marvel Legends,Chameleon,,Marvel Universe,66.0,"Oct 09, 2019",,Marvel Legends Chameleon/Blac,Action Figure,
4,Kenner,Darth Vader,,Star Wars,160.5,"Oct 09, 2019",,Vintage Kenner Star Wars Action Figure Lot 30 Pieces With Darth Vader Case ,Action Figure,
0,Mattel,,Pre-1980,Battlestar Galactica,9.99,"Oct 09, 2019",3.75in.,"Vintage Battlestar Galactica Commander Adama Action Figure 3.75"" Mattel 1978",Action Figure,1978
0,Jazwares,Steve,,,18.99,"Oct 09, 2019",2in.,Minecraft Overworld Steve And Horse Series 2 Mojang Action Figure,Action Figure,
2,Action,,,WWE,40.99,"Oct 09, 2019",,Nikita Koloff - WWE Jakks Classic Superstars Series 19 - Action Figure NIB,Action Figure,
0,AMERICAN SPORTSMAN,,,,19.99,"Oct 09, 2019",,"DEER HUNTER DAN AMERICAN SPORTSMAN 10 POINT BUCK FIGURINE ACTION FIGURE 6"" LONG",Action Figure,
1,ToyBiz,The Hulk,1980-2001,Incredible Hulk,16.0,"Oct 09, 2019",,1997 Toy Biz The Incredible Hulk Smash and Crash Action Figure - UNOPENED,Action Figure,1997
0,Star Wars,Jabba the Hutt,,Star Wars,14.0,"Oct 09, 2019",,Vintage Star Wars Jabba The Hutt Same Day Shipping,Action Figure,
0,Mattel,Mantenna,1980-2001,Masters of the Universe,19.99,"Oct 09, 2019",,"MOTU, Mantenna, Red Lever, Masters of the Universe, He-Man, complete, figure,bow",Action Figure,1980's
1,NECA,RoboCop,2002-Now,Terminator,15.0,"Oct 09, 2019",7in.,"NECA ROBOCOP VS. TERMINATOR 7"" MISP",Action Figure,2017
0,Mattel,,1980-2001,Masters of the Universe,79.99,"Oct 09, 2019",5.5in.,Masters of the Universe MOTU vintage Snakeface Snake Face loose complete,Action Figure,
0,Hasbro/Disney,REY,2002-Now,Star Wars,11.49,"Oct 09, 2019",3.75in.,Star Wars Vintage Collection ZORII BLISS VC157  TROS **damaged packaging**,Action Figure,2018
0,Playmates Toys,Ben,,Ben 10,15.25,"Oct 09, 2019",,Ben 10 Ben-to-Heatbla,Action Figure,
0,JAKKS Pacific,Paul bearer,1980-2001,,14.49,"Oct 09, 2019",,1997 Jakks Pacific Vintage Paul Bearer WWE WWF Action Figure Brown Hair,Action Figure,1997
0,Hasbro,,2002-Now,Thor,28.5,"Oct 09, 2019",,MARVEL LEGENDS THOR RAGNAROK THE GRANDMASTER & KORG 2 PACK!,Action Figure,2019
12,WWE,,2002-Now,,36.0,"Oct 09, 2019",2in.,"WWE WRESTLING FIGURE LOT OF 35 Micro Aggression, Elite And Standard Wrestlers",Action Figure,
0,Mattel,,2002-Now,WWE,26.54,"Oct 09, 2019",6in.,"2 x WWE RANDY ORTON & KOFI KINGSTON 6"" Action Figures! Series 94",Action Figure,2018
0,McFarlane Toys,Spawn,,,24.99,"Oct 09, 2019",,McFarlane Toys Special Edition Spiked Spawn Action Figure Fish Tank 1998 *SEALED,Action Figure,1998
22,,,,,43.0,"Oct 09, 2019",,1960'S HASBRO GI JOE ACTION FIGURE & ACCESSOIRES,,
1,Funko,,2002-Now,Funko Pop,5.49,"Oct 09, 2019",Small,Funko - POP Disney: Mickey's 90th - Apprentice Mickey Brand New In Box,Action Figure,2017
1,Kenner,Rancor Monster,1980-2001,Star Wars,30.0,"Oct 09, 2019",,Vintage Star Wars 1984 Kenner Jabba’s  Palace RANCOR  MONSTER Works Tight Joints,Action Figure,1984
0,JAKKS Pacific,,,WWE,29.99,"Oct 09, 2019",7in.,Nikita Koloff WWE Jakks Classic Superstars Wrestling Action Figure loose figure,Action Figure,
2,NECA,,2002-Now,Aliens,129.99,"Oct 09, 2019",9in.,"NECA Aliens Marine Lot Vasquez, Hicks Hudson, and Frost Action Figures",Action Figure,2016
1,Marvel,,,,25.0,"Oct 09, 2019",,Marvel Collectors Lot Action Figures T Shirt Pins Socks Books 3d Standee,Action Figure,
3,Mattel,He-Man,1980-2001,,10.0,"Oct 09, 2019",,Vintage 1983 He-Man MOTC Action Figure Lot,Action Figure,1983
0,Hasbro,Captain America,1980-2001,Captain America,30.0,"Oct 09, 2019",6in.,Marvel Legends 80th Anniversary Captain America Walmart Exclusive ,Action Figure,2019
0,McFarlane Toys,Assassin,2002-Now,Assassin's Creed,20.0,"Oct 09, 2019","7""","Assassin's Creed III CONNOR 7"" Figure McFarlane Color Tops Red Wave #5",Action Figure,2016
0,Hasbro,Armor Ankylosaurus,2002-Now,Jurassic World Dino Hybrid Jurassic Park,36.99,"Oct 09, 2019",,Rare Jurassic World Dino Hybrid Armor Ankylosaurus Jurassic Park Hasbro Dinosaur,Action Figure Dinosaur,
0,Mattel,,,,21.88,"Oct 09, 2019",7in.,John Cena WWE Mattel Elite Series 37 Wrestling Action Figure_s113,Action Figure,
0,Mattel,Jeff Hardy,2002-Now,,15.0,"Oct 09, 2019",7in.,WWE Jeff Hardy Figure Custom Elite Series Basic WWF TNA,Action Figure,2017
0,Star Wars,Rey,2002-Now,Star Wars,29.99,"Oct 09, 2019",6in.,STAR WARS BLACK SERIES FIRST EDITION REY & D-O IN HAND!,Action Figure,2019
0,Soldier Story,Todd,,,15.99,"Oct 09, 2019",,Soldier Story 1/6 160th SOAR Night Stalkers Pilot Todd McDunn - Medical Aid Bag ,Action Figure,
0,matty collector,,,Masters of the Universe,70.0,"Oct 09, 2019",,Matty Collector Masters of the Universe Classics Action Figure MAN AT ARMS,Action Figure,
0,Hasbro,Iron Monger,2002-Now,Iron Man,19.99,"Oct 09, 2019",,Iron Man Movie Iron Monger Armor (RED variant) Marvel Legends 2008 ,Action Figure,2008
0,Marvel,Miles Morales,2002-Now,Spiderman,57.95,"Oct 09, 2019",4in.,"SPIDER-MAN INTO THE SPIDER-VERSE ""Walmart Exclusive"" w/ ACTION FIGURE - Box Set",Action Figure & Movie,2018
0,Sideshow Collectibles,Cobra Commander,2002-Now,GI Joe,199.99,"Oct 09, 2019",12in.,"SIDESHOW GI JOE CRIMSON COBRA COMMANDER 12"" 1/6 ACTION FIGURE SDCC 2009 DISPLAY",Action Figure,2009
10,Hasbro,Jimmy Doolittle,,GI Joe,31.0,"Oct 09, 2019",12in.,2001  G.I. Joe  Medal of Honor Recipient - Jimmy Doolittle NEW,Action Figure,2001
2,JAKKS Pacific,Donkey Kong,,Super Mario Bros.,9.99,"Oct 09, 2019",4in.,"World of Nintendo DIDDY KONG 4"" Figure Donkey Kong SERIES 1-2 NEW Rare ",Action Figure,2014
0,Star Wars,MANDALORIAN,,,39.99,"Oct 09, 2019",6in.,"STAR WARS BLACK SERIES 6"" JET TROOPER CARBONIZED #99 MIMB",,2018
0,Bandai - SH FIGUARTS,Thanos,2002-Now,AVENGERS ENDGAME,96.6,"Oct 09, 2019",,FAST SHIP! SH FIGUARTS MARVEL AVENGERS ENDGAME THANOS FIGURE BANDAI SEALED USA!,Action Figure,2019
14,DC Comics,Knight,1980-2001,Batman,32.0,"Oct 09, 2019",7in.,NECA DC Comics Joker Batman Dark Knight 7 Inch COLLECTIBLE FIGURE,Action Figure,1994
0,Kenner,,Pre-1980,Star Wars,34.95,"Oct 09, 2019",,Vintage 1979 Kenner Star Wars Taun Taun (Closed Belly) w/ Reigns,Action Figure,1979
0,Mattel,,2010-Now,,6.99,"Oct 09, 2019","6 3/4""",WWE Wrestling Mattel Basic Battle 2 Packs Series 38 Adam Rose Figure,Action Figure,2012
0,Hasbro,Darth Vader,,Star Wars,29.99,"Oct 09, 2019",3.75in.,"Darth Vader Retro Prototype 2019 Action Figure Orange Mask Hasbro 3.75"" ",Action Figure,2019
9,Hasbro,Goliath,,Marvel Universe,29.99,"Oct 09, 2019",12in.,"Marvel Universe Hasbro 2009 Exclusive Red Goliath 12"" Action Figure",Action Figure,2009
0,damtoys,,,,15.28,"Oct 09, 2019",1/6TH SCALE ACTION FIGURE,DAMTOYS HYDRATION PACK GHOST SOC GLINT TEAM LEADER RYDER WATSON 1/6 ACTION TOTS,Action Figure Loose Parts Toys,
1,World Peacekeepers / Power Team,,,World Peacekeepers / Power Team,8.99,"Oct 09, 2019","12""  / 1/6TH Scale","12"" / 1/6TH SCALE WORLD PEACEKEEPERS POWER TEAM CRATE ACTION FIGURE ACCESSORY #1",Action Figure Accessory,
0,Hasbro,Leia Organa,2002-Now,Princess Leia,9.95,"Oct 09, 2019",3.75in.,Star Wars The Black Series Titanium Series Princess Leia Organa Carrie Fisher,Action Figure,2016
0,Hasbro,Cobra Commander,,GI Joe,14.99,"Oct 09, 2019",,Vintage GI Joe Action Figure 1983 Destro with Accessories,Action Figure,1983
0,Hasbro,Soldier,2002-Now,Marvel,60.96,"Oct 09, 2019",6in.,Marvel Legends Skrull Soldier Alien Armies Figure 6 Inch,Action Figure,2008
0,NECA,,2002-Now,Teenage Mutant Ninja Turtles,225.0,"Oct 09, 2019",6in.,NECA Foot Clan NYCC 2016 Teenage Mutant Ninja Turtles Shredder soldier set,Action Figure Set,2016
1,Funko,,2002-Now,Funko Pop,5.49,"Oct 09, 2019",Small,Funko - POP Movies: Lord Of The Rings / Hobbit S4 - Dunharrow King New In Box,Action Figure,2017
0,Mattel,,2002-Now,WWE,6.0,"Oct 09, 2019",,Mattel WWE Luke Harper  Action Figure Wyatt Family,Action Figure,2011
1,Funko,Arya Stark,,Game of Thrones,5.4,"Oct 09, 2019",,FUNKO ROCK CANDY: Game of Thrones S9 - Arya Stark [New Toy] Vinyl Figure,,
0,Hot Toys,Batman,,Batman,350.0,"Oct 09, 2019",12in.,"2013 Hot Toys DX-12 1/6 Scale 12"" Batman Dark Knight Rises Christian Bale",Action Figure,2013
0,Kenner,,,Star Wars,8.99,"Oct 09, 2019",,"STAR WARS ""THE POWER OF THE FORCE"" STORMTROOPER 1997 FIGURE ~ NEW / SEALED!",Action Figure,1997
0,Kenner,Han Solo,1980-2001,Star Wars,3.99,"Oct 09, 2019",3.75in.,STAR WARS POWER OF THE FORCE HAN SOLO IN ENDOR GEAR 1,Action Figure,1996
0,Hasbro,,,Star Wars,28.78,"Oct 09, 2019",," Hasbro Star Wars 3.75"" scale VC27 Vintage Collection Wicket W Warrick Ewok",Action Figure,
0,McFarlane Toys,Tiny Tina,2002-Now,Borderlands,26.95,"Oct 09, 2019",6in.,Sealed McFarlane Toys Borderlands Tiny Tina Collectible Action Figure New in Box,Action Figure,
0,WWE,,,,6.24,"Oct 09, 2019","7""",WWE Booker T Ruthless Aggression Action Figure Jakks Treacherous Trios Wrestling,Action Figure,
4,,,,,22.27,"Oct 09, 2019",,Bravestarr Action Figure Accessories,Action Figure,
3,McFarlane Toys,,2002-Now,,9.05,"Oct 09, 2019",6in.,Wayne Gretzky Mcfarlane Figure NHL Legends Series 4 Edmonton Oilers NEW Sealed,Action Figure,
5,Action,,1980-2001,,15.51,"Oct 09, 2019",4in.,Vintage Starwars Lando 1985 Action Figure Five Inch Figure ,Action Figure,1985
0,Marvel Legends,Hawkeye,2002-Now,Marvel Universe,40.0,"Oct 09, 2019",6in.,"Marvel Legends 6"" Inch Rocket Racoon BAF Avengers Hawkeye Loose Complete",Action Figure,
0,DC,,,DC Universe,90.0,"Oct 09, 2019",9in.,DC Universe Classics Signature Doomsday Unleashed action figure,Action Figure,
1,Hasbro,,1980-2001,GI Joe,12.99,"Oct 09, 2019","3.75""",1989 Dogfight Mudfighter Pilot Vintage 80's GI Joe G.I ARAH Hasbro,Action Figure,1989
1,Hasbro,,,GI Joe,3.99,"Oct 09, 2019",3.75in.,G.I. JOE SPY TROOPS GRUNT & DESTRO 2003 HASBRO NEW IN BOX FIGURES,Action Figure,2003
0,Marvel Toys,Master Chief,,Halo,12.99,"Oct 09, 2019",6in.,*** HALO 2 JOYRIDE MASTER CHIEF ACTION FIGURE ***,Action Figure,
0,Mattel,Justin Gabriel,2002-Now,WWE,10.99,"Oct 09, 2019",,Justin Gabriel Mattel Elite Series 12 Figure WWE WWF,Action Figure,2003
8,,,,,19.5,"Oct 09, 2019",,1960'S HASBRO GI JOE ACTION FIGURE & ACCESSOIRES,,
5,Hasbro,Cyclonus,1980-2001,Transformers,64.0,"Oct 09, 2019",,Transformers G1 Hasbro Cyclonus 1986 Blue Ears/Belt complete w/oxidating laser!!,Action Figure,1986
1,DC Collectibles,,2002-Now,,25.0,"Oct 09, 2019","6""",DC Collectibles ~ BLUELINE SUPERMAN ACTION FIGURE (Jim lee),Action Figure,2016
25,Kenner,,Pre-1980,Star Wars,148.5,"Oct 09, 2019",3.75in.,Vintage 1985 Star Wars POTF last 17 Amanaman action figure complete w/ Staff NM,Action Figure,1985
1,ACE,The Cryptkeeper,1980-2001,Tales from the Crypt,0.99,"Oct 09, 2019",,Vintage Toy Tales From The Cryptkeeper Crypt Keeper Figure  ACE No Reserve!!!,Action Figure,
3,Hasbro,Darth Vader,2002-Now,Star Wars,9.01,"Oct 09, 2019",,Star Wars Black Series Darth Vader Table Centerpiece,Action Figure,2017
13,Hasbro,Hero,,GI Joe,34.0,"Oct 09, 2019",11in.,"1964 Hasbro GI Joe Action Hero Figure Black Hair Pat. Pend 11"" T -  Made in USA ",Action Figure,1964
0,DC Comics,Bash,2002-Now,Batman,14.99,"Oct 09, 2019","6.5""",BANE Batman Unlimited Smash & Bash DC Comics Universe Action Figure 2011,Action Figure,2011
0,DC Comics,,,,9.99,"Oct 09, 2019",,"2011 Ranakar of Maltus 3.5"" Mattel Movie Action Figure DC Green Lantern Guardian",Action Figure,2011
0,Mattel,,2002-Now,,8.0,"Oct 09, 2019",3.75in.,"Green Lantern 3 3/4"" Figs. ""Guardians of the Universe"" Hal Jordan & Baris Mattel",Action Figure,2010
1,JAKKS Pacific,,,,49.99,"Oct 09, 2019",,WWE VINCE MCMAHON RUTHLESS AGGRESSION 1 OF 500 TOY ACTION FIGURE VERY RARE MOC,,
0,Hasbro,First Order Stormtrooper,2002-Now,Star Wars,20.99,"Oct 09, 2019",6in.,"Star Wars 6"" Elite Series FIRST ORDER FLAMETROOPER Disney New Sealed",Action Figure,2015
0,Phatmojo,,,,17.99,"Oct 09, 2019",5in.,Showdown Bandit Horror Game *BANDIT* Action Figure Western Puppet Series 1 New ,Action Figure,2019
0,Marvel Legends,Vision,2002-Now,Marvel Universe,80.0,"Oct 09, 2019",6in.,Marvel Legends Avengers Infinity War TRU Exclusive Vision Scarlet Witch 2 pack,Action Figure,2017
6,,Trooper,,Star Wars,118.5,"Oct 09, 2019",6in.,Star Wars Black Series Trooper / Entertainment Earth / Imperial Lot,Action Figure,
0,Hasbro,Ben Reilly Spiderman,2002-Now,Spider-Man,65.0,"Oct 09, 2019",6in.,Hasbro Marvel Legends Ben Reilly Spider-Man Absorbing Man BAF Edge Of Spider-Ver,Action Figure,
0,McFarlane Toys,Chipper Jones,,,19.99,"Oct 09, 2019",7in.,McFarlane Toys Big League Challenge Series 1 Atlanta Braves Chipper Jones New*,,
1,Funko,,2002-Now,Funko Pop,6.99,"Oct 09, 2019",Small,Funko - POP Ride:Captain Marvel - Carol Danvers - on Motorcycle Brand New In Box,Action Figure,2017
1,Mattel,,,,5.0,"Oct 09, 2019",8in.,CARMELLA - WWE ACTION FIGURE - Series 89 - NEW IN PKG,Action Figure,
0,Hasbro,,,Star Wars,39.48,"Oct 09, 2019",3.75in.,Star Wars 30th Comic Packs #01 - Crimson Empire #6 - Kir Kanos and Carnor Jax,Action Figure,2007
0,Bad Mother Customs,,,,7.5,"Oct 09, 2019",,1/6 Scale Custom Tattoos  for Action Figures: Skull Sleeves - Waterslide Decals,,
2,Sideshow Collectibles,,,,176.49,"Oct 09, 2019",,"Broken goggles Wooden Box Hot Go Hero Buck Rogers Limited 12"" Action Figure Toys",Action Figure,
0,Hasbro,Jet Trooper,2002-Now,Star Wars,22.99,"Oct 09, 2019",6in.,STAR WARS BLACK SERIES 6” CARBONIZED GRAPHITE FIRST ORDER JET TROOPER 99 US,Action Figure,2019
1,Mattel,,,,5.99,"Oct 09, 2019",6in.,"5PCS Masters of the Universe Classics Heman Sword For 3.75"" Action Figure TB53",Action Figure,
1,McFarlane Toys,,,,4.0,"Oct 09, 2019",,JOE SAKIC Action Figure Quebec Nordiques McFarlane NIB New Hockey,Action Figure,
14,,,,Sonic the Hedgehog,31.0,"Oct 09, 2019",, Lot of 5 - Nintendo Sonic The Hedgehog Action Figures,Action Figure,
0,DC Comics,Wonder Woman,,DC Universe,4.99,"Oct 09, 2019",3.75in.,DC COMIC Universe JUL Wonder Woman ACTION FIGURE ,Action Figure,
3,Hasbro,,,GI Joe,5.5,"Oct 09, 2019",,"Vintage GI Joe Action Figure Blowtorch, Complete (1984)",Action Figure,1984
0,Hasbro,,2002-Now,Marvel Legends,140.0,"Oct 09, 2019",6in.,A-Force Marvel Legends SDCC 2017 TRU Exclusive 6 figure box set BRAND NEW,Action Figure,2017
0,Marvel Legends,Dani Moonstar,2002-Now,Marvel Universe,119.79,"Oct 09, 2019",6in.,**IN HAND** 2 Pack Marvel Legends DANI MOONSTAR Walgreens Exclusive NIB,Action Figure,2019
0,Hasbro,Bossk,2002-Now,Star Wars,24.99,"Oct 09, 2019",3.75in.,Star Wars Clone Wars Saga Legends SL01 Bossk Figure MOC SEALED C-8+,Action Figure,
0,Playmates Toys,Nathan Hale Bridger,1980-2001,Sea Quest DSV,9.99,"Oct 09, 2019",,NEW Sea Quest DSV Captain Nathan Hale Bridger Figure NIB Playmates TV Sealed,Action Figure,1993
0,Playmates Toys,Leslie Ferina,1980-2001,Sea Quest DSV,9.99,"Oct 09, 2019",,NEW Sea Quest DSV The Regulator Leslie Ferina Figure NIB Playmates TV Sealed,Action Figure,1993
0,Hasbro,Stormtrooper,,Star Wars,28.0,"Oct 09, 2019",6in.,Lot 2 Star Wars Black Series AT-AT Driver #31 & Snowtrooper #35 MIB,Action Figure,2018
9,Hasbro,,,,15.5,"Oct 09, 2019",6in.,Star Wars Black Series First Edition Second Sister Inquisitor 6” Figure New #95,Action Figure,
2,Mattel,Rey Mysterio,,WWE,31.0,"Oct 09, 2019",6in.,RARE Lot Of 9 Mattel WWE Ray Rey Mysterio Action Figure And Mask All From 2010,Action Figure,2010
0,roblox,,,Roblox,10.0,"Oct 09, 2019",4in.,Roblox Series 3 Celebrity~ Sethalonian  W/ Code~Code Only Available,Action Figure,
0,WWE / WWF,EDDIE GUERRERO,2002-Now,,10.99,"Oct 09, 2019",7in.,EDDIE GUERRERO wrestling legend FIGURE by MATTEL wwe wcw ecw wwf HARD TO FIND !,Action Figure,2011
2,Hasbro,Royal Guard,2002-Now,Star Wars,6.5,"Oct 09, 2019",6in.,"Star Wars Black Series 2017 Imperial Royal Guard IRG 6"" 6 Inch # 38 Hasbro",Action Figure,2017
1,JAKKS Pacific,Mixed Lot,,WWE,34.99,"Oct 09, 2019","6"" to 7""",Lot of 22 WWE WWF Wrestling Action Figures by JAKKS Pacific Titan Tron Lot 3,Action Figure,1999
1,Hasbro,,,,249.99,"Oct 09, 2019",,NYCC Star Wars Rise Of Skywalker First Edition White Box 8 Figure Set In Hand.,Action Figure,
0,Hasbro,Bruticus,2002-Now,Transformers,75.0,"Oct 09, 2019",,Transformers Universe Ruination Decepticons Combiner Set Bruticus MiSB,Action Figure,2003
0,Jakks Pacific,Wario,2002-Now,Super Mario Bros.,19.99,"Oct 09, 2019",2in.,"Jakks Pacific Mario 2.5"" World of Nintendo Wave 1-1 Gold Wario Figure Exclusive",Action Figure,2015
15,Hasbro,Sith Trooper,,,20.0,"Oct 09, 2019",6in.,Star Wars Black Series First Edition Sith Trooper 6” Figure New #92,Action Figure,
0,Playmates Toys,,1980-2001,Star Trek: Deep Space Nine,5.99,"Oct 09, 2019",5in.,DS9 Capt Jean-Luc Picard Deep Space Nine  1994 Playmates Star Trek Unopened,Action Figure,1994
14,Hasbro,,,GI Joe,83.0,"Oct 09, 2019",12in.,"New GI Joe Classic Collection 1999 Buzz Aldrin Astronaut 12"" Action Figure NIB",Action Figure,1999
0,JAKKS Pacific,Rampage Jackson,2002-Now,,68.0,"Oct 09, 2019",,JAKKS Rampage Jackson UFC 75 Collection Series 8 Figure MMAFIGS.COM 1 of 1000,Action Figure,2011
0,Hasbro,,2002-Now,Guardians of the Galaxy,30.0,"Oct 09, 2019",7in.,Marvel Legends Guardians of the Galaxy Angela Action Figure BAF Titus Right Leg,Action Figure,
1,Kenner,,1980-2001,Ghostbusters,6.49,"Oct 09, 2019",,T-32 The Real Ghostbusters Action Figure Screaming Heros Janine Working turns,Action Figure,1987
0,Blip Toys,36 Squinkies Zinkies,,Zinkies By Squinkies Space Alliance,15.0,"Oct 09, 2019",,Zinkies By Squinkies Space Alliance Sealed Blip Toys 2012 New,Action Figures,2012
0,Bandai,,,,9.99,"Oct 09, 2019",,"MOC 2005 BANDAI DC TEEN TITANS GO! GIZMO & RED X ROBIN 3.5"" ACTION FIGURE SET",,
0,Hasbro,,2002-Now,Star Wars,49.0,"Oct 09, 2019",3.75in.,SDCC 2018 Dr Aphra Comic Set Star Wars Special Action Figure Set Exclusive Rare,Action Figure,2018
0,Hasbro,Knight,1980-2001,visionaries,29.99,"Oct 09, 2019",3.75in.,Visionaries CRYOTEK Action Figure 100% COMPLETE 1987 Hasbro Vintage,Action Figure,1987
0,Hasbro,Knight,1980-2001,visionaries,34.99,"Oct 09, 2019",3.75in.,Visionaries LEORIC Action Figure 100% COMPLETE 1987 Hasbro Vintage,Action Figure,1987
0,Hasbro,Knight,1980-2001,visionaries,29.99,"Oct 09, 2019",3.75in.,Visionaries CINDARR Action Figure 100% COMPLETE 1987 Hasbro Vintage,Action Figure,1987
0,Hasbro,Knight,1980-2001,visionaries,35.99,"Oct 09, 2019",3.75in.,Visionaries ARZON Action Figure 100% COMPLETE 1987 Hasbro Vintage,Action Figure,1987
0,Hasbro,Knight,1980-2001,visionaries,35.99,"Oct 09, 2019",3.75in.,Visionaries CRAVEX Action Figure 100% COMPLETE 1987 Hasbro Vintage,Action Figure,1987
0,Bandai,,,Ben 10,30.0,"Oct 09, 2019",,Ben 10 Action Figure Lot Used Played With,Action Figure,
0,Hasbro,,2002-Now,Transformers,8.0,"Oct 09, 2019",,Transformers Generarions Blurr MISB,Action Figure,
0,HASBRO,,,,15.0,"Oct 09, 2019",,TRANSFORMERS DOTM DARK OF THE MOON HUMAN ALLIANCE ROADBUSTER INCOMPLETE,Action Figure,
0,Hasbro,CYBERSHARK,1980-2001,Transformers,69.0,"Oct 09, 2019",5in.,Hasbro 1998 Transformers Beast Wars Deluxe CYBERSHARK  Maximal dented,Action Figure,1998
0,,,,Halloween,32.0,"Oct 09, 2019",,Jenna Jameson Halloween Action Figure New,Action Figure,
0,NECA,Dr Zaius,,Planet of the Apes,18.99,"Oct 09, 2019",7in.," Planet of The Apes Series 2 Dr. Zaius 7"" Action Figure *New Sealed",Action Figure,
0,Takara,Bumblebee,2002-Now,Transformers,90.0,"Oct 09, 2019",,Transformers Takara Masterpiece MPM-3 Movie Bumble Bee Bumblebee MIB OFFICIAL,Action Figure,
0,Hasbro,,,,8.99,"Oct 09, 2019",,Marvel Legends Hasbro Walgreens Exclusive Medusa Action Figure (J),,
5,McFarlane NBA 2K19 Series 1,,,,20.5,"Oct 09, 2019",,McFarlane NBA 2K19 Giannis Antetokounmpo Milwaukee Bucks Action Figure,,
1,Kidrobot,Kid Royale,2002-Now,,65.0,"Oct 09, 2019","7"" inch","Original RARE Kid Robot Kid Royale LIMITED 7"" Vinyl GRAFFITI Toy Triston Eaton",Action Figure,2012
0,Mego,Mummy,,Horror,21.95,"Oct 09, 2019",8in.,"Mego Egyptian Mummy 8"" Retro Figure Horror New",Figure,2019
0,Mattel,,,WWE,17.95,"Oct 09, 2019",,Mattel WWE Elite Flashback Magnum T.A Wrestling Action Figure First Time in Line,Action Figure,
2,Hasbro,Steve Rogers (Captain America),2002-Now,Captain America,26.0,"Oct 09, 2019",6in.,2011 Hasbro Marvel Legends STEVE ROGERS Figure TERRAX BAF Series Captain America,Action Figure,2011
0,Power Rangers,Ranger,Modern (1970-Now),Power Rangers,9.99,"Oct 09, 2019",3in.,"Power Rangers Mighty Morphin FX Action Figure, Yellow Ranger New 2017 Toy Gift",Action Figure,2017
0,Marvel Legends,Ronin,2002-Now,Avengers,14.0,"Oct 09, 2019",6in.,Marvel Legends 6” Nova Guardians Of The Galaxy Avengers,Action Figure,
0,Hasbro,Scoop,1980-2001,Transformers,3.99,"Oct 09, 2019",1in,Targetmaster Scoop Transformers G1 1988 Hasbro Action Figure,Action Figure,1988
6,Fox,Alien,1980-2001,Alien,5.51,"Oct 09, 2019",,Vintage 1992 Kenner Fox ALIENS Alien Queen Action Figure 5”,Action Figure,1992
0,Hasbro,Shattered Glass Optimus Prime,2002-Now,Transformers,49.99,"Oct 09, 2019",8 in,Transformers Masterpiece Shattered Glass Optimus Prime MP-10 SG Convoy Hasbro,Action Figure,
0,Action,,,WWE,30.0,"Oct 09, 2019",,Smash - WWE Jakks Classic Superstars Series 14 - WWF Vintage Demolition Figure ,Action Figure,
7,,Ninja Turtle,,Teenage Mutant Ninja Turtles,5.14,"Oct 09, 2019",,1991 Green Beret Raphael Teenage Ninja Turtles TMNT Vintage Figure,Action Figure,Vintage
0,Marvel Legends,Emma Frost,2002-Now,X-Men,30.0,"Oct 09, 2019",,MARVEL LEGENDS X-MEN EMMA FROST WALGREENS EXCLUSIVE!,Action Figure,2019
0,Hasbro,,,Star Wars,18.0,"Oct 09, 2019",3.75in.,"Hasbro Star Wars Galactic Marine Clone Trooper 3.75"" Scale Figure",Action Figure,
7,Bandai,Battle Droid,2002-Now,Star Wars,20.5,"Oct 09, 2019",6in.,Star Wars SH Figuarts Geonosis Battle Droid w/ C-3PO Head Loose Figure,Action Figure,
0,Hasbro,SHURI,2002-Now,Marvel Universe,14.75,"Oct 09, 2019",6in.,"HASBRO MARVEL LEGENDS 6"" LOOSE SHURI AVENGERS FIGURE - NO PROFESSOR HULK BAF",Action Figure,2018
3,Diamond Select,She-Hulk,2002-Now,Marvel Universe,10.94,"Oct 09, 2019",7in.,2005 MARVEL SELECT SHE-HULK 7” FIGURE DIAMOND AVENGERS ENDGAME LEGENDS RARE,Action Figure,2005
5,Hasbro,Savage Opress,2002-Now,Star Wars,14.25,"Oct 09, 2019",3.75in.,Hasbro Star Wars The Clone Wars CW55 Savage Opress,Action Figure,
0,Hasbro,Falcon,,GI Joe,6.99,"Oct 09, 2019",,Vintage GI Joe ARAH 1987 Raptor Action Figure Cobra Falconer Hasbro,Action Figure,1987
12,,Ninja Turtle,,Teenage Mutant Ninja Turtles,15.5,"Oct 09, 2019",,1991 Make My Day Leonardo Police Teenage Ninja Turtles TMNT Vintage Figure,Action Figure,Vintage
0,Hasbro,Soundwave,2002-Now,Transformers,43.0,"Oct 09, 2019",6in.,Transformers Soundwave & Buzzsaw G1 Reissue Walmart Exclusive!!!fr,Action Figure,2019
