,index,bids,brand,category,character,condition,era,franchise,gender,item_num,price,quantity_sold,sell_date,size,title,toy_type,year,format
4086,4086,0,Bandai,"TV, Movie & Video Games",RyuTeiOh,New,2002-Now,Power Rangers,,123932521814,46.9,2,,Box size : 39.5x27x9.9cm / Weight:1500g, bandai power rangers kyuranger dx ryuteioh galaxy force dragon emperor megazord,Action Figure,2018,BIN
4087,4087,0,LOL,"TV, Movie & Video Games",,New,,,,401866466298,47.99,2,,,garage kits lol league of legends ahri nine-tailed fox popstar action figure new,Action Figure,,BIN
4088,4088,0,Unbranded,Comic Book Heroes,,New,,,,323921958432,12.99,6,,7'',us cute toy heroic iron-man dancing music light electric robot toy kids gifts ,Action Figure,,BIN
4089,4089,1,Unbranded,Military & Adventure,,New,,GI Joe,,183979206810,59.95,1,"Oct 11, 2019",12in.,** 1964-gi joe canada-2019 ** new adventure team play mat training center ,Action Figure,1964 1969 1960 1970 1971 1972 1973 1974 1975 1976,Auction
4090,4090,0,Hasbro,"TV, Movie & Video Games",Clone Commander Stone,New,2002-Now,Star Wars: The Clone Wars,,143405779755,35.0,1,"Oct 11, 2019",3.75in.,star wars: the clone wars clone commander stone cw 44 moc,Action Figure,2009,BIN
4091,4091,10,Unbranded,"TV, Movie & Video Games",,New,,,,383197207203,5.5,1,"Oct 11, 2019",,brand new design funko pop dragonball z golden frieza pvc action figure model 47,,,Auction
4092,4092,0,NECA,"TV, Movie & Video Games",Captain Spaulding,Used,2002-Now,House of 1000 Corpses,,113920994172,45.0,1,"Oct 11, 2019",7in.,"2002 neca devil's rejects 7"" captain spaulding action figure complete reel toys",Action Figure,2002,BIN
4093,4093,10,Unbranded,"TV, Movie & Video Games",,New,,Iron Man,,264490311573,11.5,1,"Oct 11, 2019",2.5in.,marvel avengers 3 infinity war thanos veronika hulkbuster action figures toys #,Action Figure,2019,Auction
4094,4094,0,NECA,"TV, Movie & Video Games",Jason Voorhees,New,2002-Now,Friday The 13th,,292727439788,22.99,297,,7in.,"neca friday the 13th part 5 jason voorhees ultimate 7"" action figure 2017 1:12",Action Figure,2016,BIN
4095,4095,0,Hasbro,Comic Book Heroes,Spider-Man 2099,New,1980-2001,Spider-Man,,323921265309,34.0,1,"Oct 11, 2019","5""",toy biz the amazing spider-man special collector spider-man 2099 figure nib 1996,Action Figure,1994,BIN
4096,4096,0,Star Wars,"TV, Movie & Video Games",Hero,New,1980-2001,Star Wars,,303293067690,29.99,1,"Oct 11, 2019",10in.,star wars (b6068) galactic heroes galactic rivals action figure,Action Figure,2016,BIN
4097,4097,0,Hasbro,"TV, Movie & Video Games",Mace Windu,New,2002-Now,Star Wars,,163784813115,19.95,32,"Oct 11, 2019",6in.,star wars black series hasbro 6 inch mace windu action figure new in stock,Action Figure,2018,BIN
4098,4098,0,VINTAGE COLLECTION,"TV, Movie & Video Games",KNIGHT of REN - VC155,New,2002-Now,Star Wars,,401916680378,19.99,1,"Oct 11, 2019","3.75""",star wars vintage rise of skywalker: knight of ren - vc155,Action Figure,2019,BIN
4099,4099,0,Jakks Pacific,Sports,Brutus Beefcake,New,2002-Now,,,163901266067,37.99,1,"Oct 11, 2019",7in.,wwe deluxe classic superstars brutus the barber beefcake series 4 mip!,,2008,BIN
4100,4100,0,Hasbro,Military & Adventure,,New,,GI Joe,,323858224862,14.98,1,"Oct 11, 2019",,gi joe john f. kennedy pt 109 boat commander action figure by hasbro,Action Figure,,BIN
4101,4101,0,Unspecified,"TV, Movie & Video Games",,New,,,,132869036433,16.99,28,,,neca tomb raider underworld lara croft 7 inch action figure collection new,,,BIN
4102,4102,0,Hasbro,Military & Adventure,Road Pig,Used,,GI Joe,,233346273145,13.95,1,"Oct 11, 2019",3.75in.,1988 g.i. joe cobra dreadnok road pig v1 action figure loose *no accessories*,Action Figure,1988,BIN
4103,4103,0,Hasbro,Transformers & Robots,Doubledealer,Used,2013-Now,Transformers,,253770216987,17.99,1,"Oct 11, 2019",8in.,transformers generations 2014 thrilling 30 doubledealer complete  ,Action Figure,2014,BIN
4104,4104,14,DC,Comic Book Heroes,Blue,Used,,Batman,,323937170215,14.5,1,"Oct 11, 2019",6in.,dc collectibles essentials blue & grey batman 100% complete mint,Action Figure,,Auction
4105,4105,7,NECA,"TV, Movie & Video Games",Predator,New,2002-Now,Predators,,372796618178,15.5,1,"Oct 11, 2019","7""",predator 7” scale action figure neca 2019 | ultimate emissary i,Action Figure,2019,Auction
4106,4106,10,McFarlane Toys,Sports,Tom Brady,New,,,,153672359688,21.5,1,"Oct 11, 2019",6in.,mcfarlane tom brady nfl series 11 blue new england patriots figure rare nib,Action Figure,,Auction
4107,4107,1,Unbranded,Military & Adventure,,New,,GI Joe,,183979208047,49.95,1,"Oct 11, 2019",12in.,** 1964-gi joe canada-2019 ** new green beret action figure & camo bazooka,Action Figure,1964 1965 1966 1967 1968 1969 1960 1970 1971 1972,Auction
4108,4108,0,Unbranded,"TV, Movie & Video Games",Obi-Wan,New,2002-Now,Star Wars,,323942926622,28.99,1,,," 1/6 solider obi-wan kenobi head sculpt model fit 12"" male figure body toys",Action Figure,2019,BIN
4109,4109,0,Unbranded,Military & Adventure,Boy,New,,,,323788454268,20.67,2,,1/6,coomodel 1/6 scale male standard narrow shoulders man body figure model toy,Action Figure,2018,BIN
4110,4110,0,Funko,Comic Book Heroes,,New,2002-Now,Batman,,371625805742,14.94,1753,,3.75in.,funko pop heroes: the dark knight - the joker vinyl figure item #3372,Action Figure,2013,BIN
