,bids,brand,category,character,condition,era,franchise,gender,item_num,price,quantity_sold,sell_date,size,title,toy_type,year
2596,0,ToyBiz,Comic Book Heroes,Hobgoblin,New,,Spider-Man,,323929180237,10.0,1,"Oct 11, 2019",,Vintage Spider Man Animated Series Smythe MOC Toybiz 1994,Action Figure,1994
2597,0,Star Wars,"TV, Movie & Video Games",Sand People,New,,Sand People,,264467975039,350.0,1,"Oct 11, 2019",,Vintage Original Star Wars 12 Back Sand People Action Figure Carded.,Action Figure,
2598,0,McFarlane Toys,"TV, Movie & Video Games",,Used,,,,323942460169,7.65,1,"Oct 11, 2019",,the crow mcfarlane movie maniac action figure loose,Action Figure,
2599,2,Action,Transformers & Robots,Ultra Magnus,New,2002-Now,Transformers,,293262594348,36.99,1,"Oct 11, 2019",Leader Class,NEW Transformers War For Cybertron Siege Leader Ultra Magnus WFC-S13,Action Figure,
2600,0,Mattel,Comic Book Heroes,,New,,WWE Elite Collection,,264467593355,49.95,1,"Oct 11, 2019",6in.,SDCC 2019 WWE Elite Collection Macho Man Randy Savage Slim Jim Mattel New!,Action Figure,2019
2601,1,Hasbro,Military & Adventure,Duke,Used,,GI Joe,,183985399685,7.99,1,"Oct 11, 2019",12in.,1992 Hasbro GI Joe 12 Inch Action Figure Duke With Military Clothes Boots LOT,Action Figure,1992
2602,4,Hasbro,Military & Adventure,Cobra Crimson Guard,Used,,GI Joe,,174050379772,20.5,1,"Oct 11, 2019",3.75in.,GI Joe ARAH Hasbro 1985 Cobra Crimson Guard W FILE CARD,Action Figure,1985
2603,0,Hasbro,"TV, Movie & Video Games",TROOPERS,New,2002-Now,Star Wars,,254386133102,29.95,1,"Oct 11, 2019",6in.,"STAR WARS BLACK SERIES FIRST ORDER JET TROOPER 6"" Figure NIB Exclusive ",Action Figure,
2604,0,Kenner,Comic Book Heroes,Batman,New,,Batman,,264490580646,60.0,1,"Oct 11, 2019",5in. scale,Crime Attack Batman The Dark Knight Collection Kenner Action Figure 1991,Action Figure,1991
2605,0,Hasbro,Comic Book Heroes,Hela,New,2002-Now,Marvel Universe,,233366049288,21.99,1,"Oct 11, 2019",6in.,Marvel Legends Skurge and Hela Figures Thor Ragnarok Two Pack New And Sealed,Action Figure,2019
2606,0,Hasbro,Transformers & Robots,Wreck Gar,New,2002-Now,Transformers,,174041321098,18.0,1,"Oct 11, 2019",6 in,Transformers Power Of The Primes Deluxe Class Autobot Wreck Gar Walgreens EX New,,2017
2607,0,Takara,Military & Adventure,Zartan,New,,GI Joe,,113865911954,224.0,1,"Oct 11, 2019",3.75in.,G.I. Joe Zartan Takara 1986 Japanese MOC vintage,Action Figure,1986
2608,0,Marvel Legends,Comic Book Heroes,Mystique,New,,X MEN,,283633364527,19.99,1,"Oct 11, 2019",6in.,MARVEL LEGENDS EPIC HEROES MYSTIQUE ACTION FIGURE MINT X MEN,Action Figure,---
2609,4,Hasbro,Transformers & Robots,Swoop,Used,2000,TRANSFORMERS,,323940086029,10.51,1,"Oct 11, 2019",7.5'',Transformers Animated OPTIMUS PRIME Complete Hasbro Voyager,Action Figure,2008
2610,1,Funko,"TV, Movie & Video Games",Superman,New,,Superman,,293262597933,10.0,1,"Oct 11, 2019",3.75in.,"Funko Action Comics Superman 3.75"" Action Figure Legion Of Collectors Exclusive",Action Figure,
2611,12,Marvel,"TV, Movie & Video Games",Scarlet Witch,Used,2002-Now,Legend,,303309752546,20.5,1,"Oct 11, 2019",6in.,Marvel Legends Scarlet Witch MCU Abomination Wave Complete,Action Figure,
2612,0,Kenner,"TV, Movie & Video Games",Moon Stryker,Used,1980-2001,,,143408802087,79.99,1,"Oct 11, 2019","5""",Silver Hawks - Moon Stryker + Tail Spin Vintage Kenner 1986,Action Figure,1986
2613,0,NECA,"TV, Movie & Video Games",,Used,,Playstation,,254369651460,39.95,1,"Oct 11, 2019",7in.,"NECA - God of War 2018 - 7"" Scale Action Figure - Ultimate Kratos & Atreus Loose",Action Figure,2018
2614,0,,Military & Adventure,,Used,,GI Joe,,113916101181,68.0,3,"Oct 11, 2019",3.75in.,gijoe GIJoe Funskool Wild Weasel Loose Complete Except For Map,Action Figure,
2615,0,Moose Enterprise,"TV, Movie & Video Games",Chomp Sr.,New,2002-Now,Fortnite,,163842450554,9.99,2,"Oct 11, 2019",2in.,"FORTNITE BATTLE ROYALE COLLECTION CHOMP SR. 2"" Figure NEW",Action Figure,2019
2616,0,Hasbro,Sports,Mr Perfect,Used,1980-2001,WWE,,223701958872,33.0,1,"Oct 11, 2019",,WWF Hasbro Mr. Perfect Curt Henning Blue Series 8 Loose,Action Figure,1991
2617,1,Starting Lineup Hasbro,Sports,,New,1980-2001,,,293262598656,3.0,1,"Oct 11, 2019","4""",1997 Starting Lineup  Winner's Circle Jeff Gordon 24,Action Figure,1997
2618,0,JAKKS Pacific,Sports,The Rock,Used,2002-Now,,,133023744262,19.79,1,"Oct 11, 2019",7in.,Jakks Pacific 2003 WWE The Rock Lot Of 3 Wrestling Loose Action Figures,Action Figure,2003
2619,0,Unbranded,Comic Book Heroes,Superhero,New,,Spider-Man,,323794571433,19.5,11,,17cm,SHF S.H.Figuarts The Avengers 3 Infinite War Iron Spider Man Spiderman Figure,Action Figure,2019
2620,0,Hasbro,Military & Adventure,,Used,,GI Joe,,193029977670,3.99,1,"Oct 11, 2019",,Vintage GI Joe ARAH Figure Stretcher v1 1990 Top Half Arms Head Chest Back,Action Figure,1990
2621,1,Hasbro,"TV, Movie & Video Games",Rey,New,2002-Now,Star Wars,,333350442201,20.0,1,"Oct 11, 2019",3.75in.,NEW Star Wars The Last Jedi - The Vintage Collection Rey (Island Journey) VC122,Action Figure,2019
2622,0,Hasbro,Military & Adventure,,Used,,GI Joe,,264460685060,12.99,1,"Oct 11, 2019",,Vintage GI Joe Action Figure 1991 Cobra Commander with Accessories,Action Figure,1990
2623,0,Hasbro,"TV, Movie & Video Games",Bodhi Rook,New,2002-Now,Star Wars,,264493387476,11.95,1,"Oct 11, 2019",3.75in.,2016 STAR WARS Rogue One BODHI ROOK Disney Hasbro Action Figure New on Card NOC,Action Figure,2016
2624,0,Kenner,"TV, Movie & Video Games",Mo-Lec-U-Lar,Used,1980-2001,Silver Hawks,,202798015748,13.99,1,"Oct 11, 2019","5""",Silver Hawks - MO-LEC-U-LAR Molecular Figure Vintage Kenner 1986 Missing leg.,Action Figure,1986
2625,0,Funko,"TV, Movie & Video Games",,Used,,Fnaf,,383200484418,11.0,1,"Oct 11, 2019",5in.,"FUNKO - Five Nights at Freddy's FNAF 5"" Action Figure Nightmare Freddy Series 2",Action Figure,
2626,0,Mattel,Sports,Kevin Von Erich,New,,WWE,,193032595583,149.99,1,"Oct 11, 2019",,WWE Mattel Elite Legends Series 6 KEVIN VON ERICH Action Figure WWF Wrestling ,Action Figure,
2627,0,Hasbro,Military & Adventure,,Used,,GI Joe,,193153526628,8.5,1,"Oct 11, 2019",,Vintage G.I. Joe Action Figure Tunnel Rat Accessories,Action Figure,
2628,0,Hasbro,"TV, Movie & Video Games",,New,2002-Now,Star Wars,,274039933120,46.0,1,"Oct 11, 2019",6in.,"STAR WARS BLACK SERIES 6"" inch CARBONIZED THE MANDALORIAN Target *FREE SHIPPING",Action Figure,2019
2629,1,Hasbro,Military & Adventure,Sci Fi,New,,GI Joe,,254379474151,299.99,1,"Oct 11, 2019",3.75in.,GI Joe SCI-FI 1986 MOC MOSC Hasbro New Vintage Factory Sealed Action Figure ,Action Figure,1986
2630,8,NECA,"TV, Movie & Video Games",Aliens,New,,Alien,,352816054216,11.11,1,"Oct 11, 2019",12in.,NECA Aliens Series 13 Space Marine Sgt. Apone Action Figure,Action Figure,2018
2631,0,polyfect toys,Transformers & Robots,Robot,Used,,Transformers,,163880340318,19.99,1,"Oct 11, 2019",8 in,"BOOTLEG VOLTRON POLYFECT FAIRIGGER XV KO VEHICLE ROBOT 8"" ACTION FIGURE LOOSE",Action Figure,2019
2632,0,Kenner,"TV, Movie & Video Games",Logray,Used,1980-2001,Star Wars,,123923233947,14.99,1,"Oct 11, 2019",3.75in.,Star Wars Vintage Kenner Logray w/Original staff 1983,Action Figure,1983
2633,1,Microsoft,"TV, Movie & Video Games",,Used,2002-Now,Halo,,113913323825,36.99,1,"Oct 11, 2019","5 1/2""", Halo Reach Action Figures Stand,Action Figure,
2634,0,Hasbro,Transformers & Robots,Swelter,Used,2002-Now,Transformers,,192625678437,9.99,1,"Oct 11, 2019",3in.,Blizzard Strike Swelter Transformer From Minicon 4-pack Robots in Disguise 2016,Action Figure,2016
2635,0,Creative Beast,"TV, Movie & Video Games",Raptor,Used,,,,312800812099,20.0,1,"Oct 11, 2019",,Beasts Of The Mesozoic Zhenyuanlong Raptor Figure,Action Figure,2016
2636,0,NECA,"TV, Movie & Video Games",Jason Voorhees,New,2002-Now,Friday The 13th,,133127641069,34.99,22,,7in.,"NECA Freddy vs Jason Friday the 13th Jason Voorhees Ultimate 7"" Action Figure",Action Figure,2019
2637,0,Playmates Toys,"TV, Movie & Video Games",Baxter Stockman,New,1980-2001,Teenage Mutant Ninja Turtles,,254386432417,59.99,1,"Oct 11, 2019",,1989 Teenage Mutant Ninja Turtles - Baxter Stockman - MOC Unpunched ,Action Figure,1989
2638,0,Hasbro,"TV, Movie & Video Games",,New,,,,401897092293,29.95,1,"Oct 11, 2019",,STAR WARS Clone Wars * CAPTAIN LOCK * Clone Trooper * KMART EXCLUSIVE In Package,,
2639,1,McFarlane Toys,"TV, Movie & Video Games",Master Chief,Used,,Halo,,153672246176,5.7,1,"Oct 11, 2019",,Halo 4 Master Chief S1 McFarlane 2012 Action Figure,Action Figure,2012
2640,0,HASBRO,Transformers & Robots,swoop,Used,2002-Now,transformers,,133169945380,25.0,1,"Oct 11, 2019",5'',Transformers Power Of The Primes SWOOP Complete Dinobot Potp AUTHENTIC,Action Figure,2014
2641,1,Hasbro,Military & Adventure,Gigi,Used,,GI Joe,,143404417905,29.99,1,"Oct 11, 2019",3.75in.,2017 JoeCon Joe Convention Cobra B.A.T. BAT V1.8 COMPLETE W/ File Card 2 of 2,Action Figure,2009
2642,0,HZX,Transformers & Robots,,New,,,,323851932844,31.99,48,,,HZX Defensor & Bruticus & Superion 5 IN 1 Sets KO Collection TF Action Figure,,
