,bids,brand,category,character,condition,era,franchise,gender,price,quantity_sold,sell_date,size,title,toy_type,year,format
4017,0,Hasbro,Transformers & Robots,,New,,Transformers,,22.24,1,"Oct 10, 2019",,2016 Hasbro Transformers Freezeout & Autobot Topspin Titans Return Deluxe Class,,2016,BIN
4018,0,Hasbro,Comic Book Heroes,,Used,2002-Now,Star Wars,,49.99,1,"Oct 10, 2019",3.75in.,"HASBRO STAR WARS 3.75"" LOOSE LEGACY COLLECTION COMIC PACK LUMIYA NICE!!",Action Figure,,BIN
4019,0,Mattel,Comic Book Heroes,Monsieur Mallah,New,,DC Universe,,74.99,1,"Oct 10, 2019",,DC Universe Classics Signature Monsieur Mallah and the Brain Doom Patrol,Action Figure,,BIN
4020,0,NQGGNQ,Comic Book Heroes,,New,,Thanos Infinity,,19.99,1,,,Avengers 4 Endgame Thanos Gauntlet LED Light Gloves Kids Adult Cos Costume Props,Action Figure,2019,BIN
4021,0,Art Asylum,"TV, Movie & Video Games",,New,2002-Now,,,1.99,1,,2.5in.,The Nightmare Before Xmas Minimates Series 2 Unraveled Boogie,Action Figure,2016,BIN
4022,0,FUNKO,Designer & Urban Vinyl,,New,2002-Now,,,1.49,1,"Oct 10, 2019",3in.,Funko Mystery Minis Stranger Things LUCAS Vinyl Figure,Action Figure,2017,BIN
4023,0,FUNKO,Designer & Urban Vinyl,,New,2002-Now,,,1.0,1,"Oct 10, 2019",3in.,Funko Mystery Minis Stranger Things MIKE Vinyl Figure,Action Figure,2017,BIN
4024,0,FUNKO,Designer & Urban Vinyl,,New,2002-Now,,,1.0,1,"Oct 10, 2019",3in.,Funko Mystery Minis Justice League Movie BARRY ALLEN Figurine,Action Figure,2017,BIN
4025,1,Mezco,Comic Book Heroes,Judge Dredd,Used,2002-Now,Judge Dredd,,43.0,1,"Oct 10, 2019",6in.,MEZCO ONE:12 Collective Judge Dredd Exclusive black and white figure ,Action Figure,,Auction
4026,0,Hasbro,Military & Adventure,,New,,GI Joe,,24.95,1,"Oct 10, 2019",12in.,"New 1999 Hasbro GI Joe 12"" Airborne Military Police Action Figure",Action Figure,1964,BIN
4027,0,Square-Enix,"TV, Movie & Video Games",Kai,New,,Final Fantasy,,145.0,1,"Oct 10, 2019",,Final Fantasy VII Cloud Strife Remake Play Arts Kai Action Figure Authentic US ,Action Figure,,BIN
4028,13,Marvel Legends,Comic Book Heroes,,New,,,,21.07,1,"Oct 10, 2019",6in.,Marvel Legends Walgreens Exclusive EMMA FROST MISP VHTF Mint X Men ,Action Figure,,Auction
4029,0,Hasbro,Military & Adventure,,New,,GI Joe,,11.99,1440,,3.75in.,2014- New Improved GREAT PRINT GIJOE Book Identification Guide 2 in 1 DeSimone ,Action Figure,1986,BIN
4030,0,Bandai,"TV, Movie & Video Games",,Used,2002-Now,Power Rangers,,120.0,1,"Oct 10, 2019",,Power Rangers Dino Thunder Brachio Morpher Brachiozord Boxed Abaranger  Rare!,Action Figure,2003,BIN
4031,0,Action,Sports,Alexa Bliss,New,,,,17.99,1,"Oct 10, 2019",,WWE Wrestling Elite Collection Women's Division Alexa Bliss Exclusive Action Fig,Action Figure,,BIN
4032,0,Bandai,Anime & Manga,,New,,,,5.99,2,,,Bandai HGIF SAKURA WARS 3 Sakura Shinguji OU Gashapon Manga Anime Mini Figure,,,BIN
4033,0,Hasbro,Comic Book Heroes,,Used,,Marvel  Super hero squad,,4.9,2,,"2.25""",Hasbro Marvel Super Hero Adventures Green Goblin &  Squad DESERT ARMOR IRON Man,Action Figure,,BIN
4034,0,McFarlane Toys,"TV, Movie & Video Games",,New,,Shrek,,12.0,1,"Oct 10, 2019",,Shrek Lord Farquaad with Attachable Legs McFarlane Toys ,Action Figure,2002,BIN
4035,0,ToyBiz,Comic Book Heroes,Spider-Man,Used,,,,39.99,1,"Oct 10, 2019",18in.,"18"" Spider-Man 2 The Movie Action Figure Articulated ToyBiz Marvel Toy Biz 2003",Action Figure,2003,BIN
4036,0,Marvel,Comic Book Heroes,Daredevil,Used,,,,17.0,1,"Oct 10, 2019",,Marvel Select Netflix Daredevil Action Figure loose,Action Figure,,BIN
4037,0,Unbranded,Comic Book Heroes,Venom,New,2002-Now,Marvel Universe,,21.84,325,,7in.,Marvel Spider-Man Venom Edward Brock Revoltech PVC Action Figure Model Toys Gift,Action Figure,2018,BIN
4038,0,Mego,Comic Book Heroes,Alan Verdon Peter Burke,New,,Planet of the Apes,,7.99,22,,8in.,Mego Planet of the Apes Brown Moccasins Shoes For POTA 8” Figure Parts Lot,Action Figure,,BIN
4039,0,Kenner,Comic Book Heroes,,Used,1980-2001,,,5.95,1,"Oct 10, 2019",,Batman Forever - Transforming Bruce Wayne - 100% complete (Kenner),Action Figure,,BIN
4040,0,tokidoki,Designer & Urban Vinyl,,New,,,,8.95,1,"Oct 10, 2019","3""",Tokidoki Mermicorno Series 3 Vinyl Figure - Sailor New Release,,,BIN
4041,0,Power Rangers,"TV, Movie & Video Games",Rex,New,,Power Rangers,,15.99,12,,5in.,"Power Rangers Dino Super Charge 5"" Dino Steel Red Ranger",,,BIN
4042,1,Mattel,"TV, Movie & Video Games","Allosaurus, Ankylosaurus",New,2002-Now,Jurassic World,,35.0,1,"Oct 10, 2019",,Jurassic World Allosaurus & Ankylosaurus Roarivores Fallen Kingdom 2018,Action Figure,2018,Auction
4043,0,Mattel,"TV, Movie & Video Games",Panthor,Used,,Masters of the Universe,,42.99,1,"Oct 10, 2019",,Vintage Masters of the Universe MOTU Skeletor's cat PANTHOR Complete 1982 Mattel,Action Figure,1982,BIN
4044,10,Marvel Legends,Comic Book Heroes,Emma Frost,New,2002-Now,X-Men,,31.0,1,"Oct 10, 2019",6in.,Marvel legends Emma Frost Walgreens Exclusive Brand new and mint,Action Figure,2019,Auction
4045,0,Hasbro,"TV, Movie & Video Games",Sith Trooper,New,2002-Now,Star Wars,,22.79,3,,6in.,STAR WARS BLACK Series RED SITH TROOPER 6in Figure Rise of Skywalker IN STOCK,Action Figure,2019,BIN
4046,0,Mattel,Sports,,Used,2002-Now,WWE,,10.29,1,"Oct 10, 2019",,R Truth K Kwick WWE MATTEL Basic Series 21 NXT WWF WRESTLING FIGURE 2011,Action Figure,2011,BIN
